Name,OnStreetName,AtCrossStreet,Latitude,Longitude
K435EBRV-01B,I435 E,LACKMAN ROAD,38.941765,-94.760605
K435EBRV-24C,I435 E,NALL AVE CD,38.9314,-94.6501
K435EBV-22,I435 E,METCALF,38.9323,-94.6645
K435EBV-23,I435 E,LAMAR AVE,38.9316,-94.6576
K435EBV-25,I435 E,NALL AVE,38.9316,-94.6488
K435EBV-29,I435 E,ROE AVE,38.9326,-94.6395
K435EBV-34,I435 E,LEE BLVD,38.9327,-94.6255
K435EBV-36,I435 E,STATE LINE RD,38.9359,-94.6104
K435EBVR-01,I435 E,PFLUMM RD,38.936657,-94.742989
K435EBVR-01B,I435 E,LACKMAN ROAD,38.94264,-94.76048
K435EBVR-03,I435 E,Before Quivira road,38.9348,-94.735
K435EBVR-05,I435 E,Quivira road,38.93507,-94.72408
K435EBVR-08,I435 E,Past Quivira road,38.93513,-94.71344
K435EBVR-13,I435 E,HWY 69,38.93546,-94.70116
K435EBVR-16,I435 E,INDIAN CREEK,38.93447,-94.69149
K435EBVR-17,I435 E,ANTIOCH RD,38.9353,-94.6853
K435EBVR-19,I435 E,ANTIOCH,38.93388,-94.67879
K435EBVR-20,I435 E,WEST OF METCALF,38.9341,-94.6739
K435EBVR-25,I435 E,NALL AVE,38.9316,-94.6483
K435EBVR-28,I435 E,Roe Blvd,38.9325,-94.6402
K435EBVR-32,I435 E,MISSION RD,38.9328,-94.6329
K435EBVR-34,I435 E,LEE BLVD,38.93332,-94.6201
K435EBVR-35,I435 E,INDIAN CREEK,38.9351,-94.6135
K435NBVR-02,I435 W,79TH STREET,38.9902,-94.7768
K435NBVR-03,I435 N,AT 87TH STREET,38.9712,-94.7767
K435NBVR-04,I435 N,AT 95TH STREET,38.95661,-94.7756
K435NBVR-31,I435 N,North of Kansas Ave,39.094738,-94.808434
K435NBVR-41,I435 N,Kansas Ave,39.087452,-94.80143
K435NBVR-50,I435 N,Shawnee Mission Parkway,39.010239,-94.784805
K435NBVR-51,I435 N,State Ave,39.116581,-94.811752
K435NBVR-52,I435 N,Johnson Drive,39.021534,-94.785248
K435NBVR-54,I435 N,53rd Street,39.0326,-94.787254
K435NBVR-56,I435 N,Woodend Road,39.050678,-94.78978
K435NBVR-58,I435 N,Metropolitan Ave,39.071198,-94.794891
K435NBVR-74,I435 N,Donahoo Road,39.157307,-94.820648
K435NBVR-76,I435 N,North of Donahoo Road,39.171425,-94.810867
K435NBVR-80,I435 N,Wolcott Drive,39.179012,-94.799408
K435NBVR-82,I435 N,North of Wolcott Drive,39.190302,-94.776047
K435SBVR-02,I435 E,79TH STREET,38.9902,-94.7768
K435SBVR-03,I435 S,AT 87TH STREET,38.9712,-94.7767
K435SBVR-04,I435 S,AT 95TH STREET,38.95661,-94.7756
K435SBVR-31,I435 S,North of Kansas Ave,39.094727,-94.808884
K435SBVR-41,I435 S,Kansas Ave,39.087521,-94.801941
K435SBVR-50,I435 S,Shawnee Mission Parkway,39.010265,-94.785286
K435SBVR-51,I435 S,State Ave,39.116497,-94.81218
K435SBVR-52,I435 S,Johnson Drive,39.021503,-94.78569
K435SBVR-54,I435 S,53rd Street,39.032574,-94.78833
K435SBVR-56,I435 S,Woodend Road,39.05064,-94.79026
K435SBVR-58,I435 S,Metropolitan Ave,39.071114,-94.795334
K435SBVR-74,I435 S,Donahoo Road,39.15736,-94.821007
K435SBVR-76,I435 S,North of Donahoo Road,39.17152,-94.811241
K435SBVR-80,I435 S,Wolcott Drive,39.179195,-94.799629
K435SBVR-82,I435 S,North of Wolcott Drive,39.190613,-94.776222
K435WBRV-28A,I435 W,ROE AVE CD,38.9325,-94.6416
K435WBRV-30B,I435 W,ROE AVE CD,38.9327,-94.6389
K435WBV-22,I435 W,METCALF,38.9323,-94.6645
K435WBV-23,I435 W,LAMAR AVE,38.9316,-94.6576
K435WBV-25,I435 W,NALL AVE,38.9317,-94.649
K435WBV-29,I435 W,ROE AVE,38.9326,-94.6395
K435WBV-34,I435 W,LEE BLVD,38.9327,-94.6255
K435WBV-36,I435 W,STATE LINE RD,38.9362,-94.61
K435WBVR-01,I435 W,PFLUMM RD,38.936916,-94.74295
K435WBVR-01B,I435 W,LACKMAN,38.943115,-94.760483
K435WBVR-03,I435 W,After Quivira road,38.935,-94.735
K435WBVR-05,I435 W,Quivira road,38.93526,-94.72407
K435WBVR-08,I435 W,AFTER HWY 69,38.93534,-94.71348
K435WBVR-13,I435 W,HWY 69,38.93546,-94.70116
K435WBVR-16,I435 W,INDIAN CREEK,38.93447,-94.69149
K435WBVR-17,I435 W,ANTIOCH RD,38.9355,-94.6851
K435WBVR-20,I435 W,WEST OF METCALF,38.9341,-94.6739
K435WBVR-25,I435 W,NALL AVE,38.9318,-94.6483
K435WBVR-28,I435 W,ROE AVE,38.9327,-94.6402
